                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.0145,                   1.09,                 1.1694,                0.37052,                0.52843,                0.51894,                0.37095,                 1.4334,                 2.1715,                 1.4053,             3.4957e-05,             3.4957e-05,             3.4957e-05
                     91,                0.96568,                0.97187,                 1.1551,                0.49889,                0.44208,                0.49361,                0.35223,                 1.4555,                  2.203,                 1.4319,             3.2046e-05,             3.2046e-05,             3.2046e-05
                     92,                0.94551,                0.91941,                 1.1487,                0.68975,                0.36582,                0.49707,                0.35598,                 1.4259,                 2.2024,                 1.4078,             2.9135e-05,             2.9135e-05,             2.9135e-05
                     93,                0.95261,                0.90237,                 1.1475,                 0.4749,                0.52132,                0.54124,                0.37905,                 1.4418,                 2.1339,                 1.4101,             2.6225e-05,             2.6225e-05,             2.6225e-05
                     94,                0.94005,                0.87913,                 1.1338,                0.37016,                0.54071,                0.51893,                0.37116,                 1.4328,                 2.1574,                 1.4037,             2.3314e-05,             2.3314e-05,             2.3314e-05
                     95,                0.93941,                0.88319,                 1.1436,                0.51959,                0.41622,                0.51839,                0.37971,                 1.4294,                 2.1696,                 1.3998,             2.0404e-05,             2.0404e-05,             2.0404e-05
                     96,                0.93129,                 0.8711,                 1.1294,                0.45334,                0.45544,                0.47943,                 0.3446,                 1.4397,                 2.1899,                 1.4048,             1.7493e-05,             1.7493e-05,             1.7493e-05
                     97,                0.93136,                0.86068,                 1.1318,                0.45439,                0.46071,                0.49388,                0.36191,                 1.4401,                 2.1604,                  1.402,             1.4582e-05,             1.4582e-05,             1.4582e-05
                     98,                0.93552,                0.86072,                 1.1363,                0.46594,                0.46976,                0.50594,                0.36662,                 1.4275,                 2.1333,                 1.3976,             1.1672e-05,             1.1672e-05,             1.1672e-05
                     99,                0.92954,                0.85576,                 1.1332,                0.41856,                0.45807,                0.50556,                0.36639,                 1.4258,                  2.158,                 1.4006,             8.7612e-06,             8.7612e-06,             8.7612e-06
                    100,                 0.9283,                0.85751,                 1.1359,                0.42726,                 0.4579,                0.50374,                0.36194,                  1.428,                 2.1591,                 1.3993,             5.8506e-06,             5.8506e-06,             5.8506e-06
